race,date,participant_id,placing
Mouse race,2020-06-20,4,2
Mouse race,2020-06-20,3,6
Mouse race,2020-06-20,6,1
Mouse race,2020-06-20,7,4
Mouse race,2020-06-20,8,7
Mouse race,2020-06-20,1,5
Mouse race,2020-06-20,2,3
Mouse race,2020-06-20,5,8
Zero to win,2020-08-27,5,4
Zero to win,2020-08-27,7,2
Zero to win,2020-08-27,3,3
Zero to win,2020-08-27,2,7
Zero to win,2020-08-27,6,8
Zero to win,2020-08-27,4,5
Zero to win,2020-08-27,8,6
Zero to win,2020-08-27,6,1
This is it,2022-10-27,1,6
This is it,2022-10-27,6,1
This is it,2022-10-27,6,4
This is it,2022-10-27,4,5
This is it,2022-10-27,7,7
This is it,2022-10-27,8,3
This is it,2022-10-27,5,2
This is it,2022-10-27,2,8
Red Devil,2020-09-17,6,8
Red Devil,2020-09-17,7,2
Red Devil,2020-09-17,5,3
Red Devil,2020-09-17,8,5
Red Devil,2020-09-17,2,7
Red Devil,2020-09-17,6,1
Red Devil,2020-09-17,4,6
Red Devil,2020-09-17,1,4
Leadfoot,2020-12-08,6,1
Leadfoot,2020-12-08,5,2
Leadfoot,2020-12-08,3,8
Leadfoot,2020-12-08,2,3
Leadfoot,2020-12-08,1,7
Leadfoot,2020-12-08,4,4
Leadfoot,2020-12-08,7,6
Leadfoot,2020-12-08,8,5
Prototype,2021-01-06,2,7
Prototype,2021-01-06,5,1
Prototype,2021-01-06,4,6
Prototype,2021-01-06,6,3
Prototype,2021-01-06,3,5
Prototype,2021-01-06,8,8
Prototype,2021-01-06,7,2
Prototype,2021-01-06,1,4
Cannonball,2021-01-26,6,5
Cannonball,2021-01-26,8,7
Cannonball,2021-01-26,5,1
Cannonball,2021-01-26,7,8
Cannonball,2021-01-26,2,6
Cannonball,2021-01-26,3,3
Cannonball,2021-01-26,4,4
Cannonball,2021-01-26,1,2
Helmet Hair 2021,2021-03-08,7,2
Helmet Hair 2021,2021-03-08,6,3
Helmet Hair 2021,2021-03-08,4,4
Helmet Hair 2021,2021-03-08,3,8
Helmet Hair 2021,2021-03-08,5,7
Helmet Hair 2021,2021-03-08,8,5
Helmet Hair 2021,2021-03-08,2,6
Helmet Hair 2021,2021-03-08,1,1
